county,county_fips,agency_type,agency_name,street,city
Delaware,36025,ambulance_als,Margaretville Memorial Hospital Ambulance Squad,42084 State Highway 28,"Margaretville, NY 12455"
Delaware,36025,ambulance_als,Meridale Rural Fire District,PO Box 104,"Meridale, NY 13806"
Delaware,36025,ambulance_als,"New York Safety Track, LLC",PO Box 263,"Harpersfield, NY 13786"
Delaware,36025,ambulance_als,Roxbury Fire District,PO Box 514,"Roxbury, NY 12474"
Delaware,36025,ambulance_als,Stamford Joint Fire District,PO Box 274,"Stamford, NY 12167"
Delaware,36025,ambulance_als,"Town of Hancock Volunteer Ambulance Corps, Inc.",PO Box 733,"Hancock, NY 13783"
Delaware,36025,ambulance_als,"Treadwell Fire Department Emergency Squad, Inc.",275 Jackson Hill,"Treadwell, NY 13846"
Delaware,36025,ambulance_als,"Trout Creek Volunteer Fire Company, Inc.",PO Box 72,"Trout Creek, NY 13847"
Delaware,36025,ambulance_als,"Walton Fire Department Emergency Squad, Village of",63 West Street,"Walton, NY 13856"
Dutchess,36027,ambulance_als,"Amenia Fire Company #1, Inc.",PO Box 166,"Amenia, NY 12501"
Dutchess,36027,ambulance_als,Arlington Fire District,11 Burnett Boulevard,"Poughkeepsie, NY 12603"
Dutchess,36027,ambulance_als,Arlington Fire District,11 Burnett Blvd,"Poughkeepsie, NY 12603"
Dutchess,36027,ambulance_als,"Beacon Volunteer Ambulance Corps, Inc.",PO Box 54,"Beacon, NY 12508"
Dutchess,36027,ambulance_als,Beekman Fire District,PO Box 568,"Poughquag, NY 12570"
Dutchess,36027,ambulance_als,"Dover Ambulance Service, Town of",126 East Duncan Hill Road,"Dover Plains, NY 12522"
Dutchess,36027,ambulance_als,East Clinton Fire District,PO Box 181,"Clinton Corners, NY 12514"
Dutchess,36027,ambulance_als,East Fishkill Fire District,2502 Rt 52,"Hopewell Junction, NY 12533"
Dutchess,36027,ambulance_als,Fairview Fire District,258 Violet Avenue,"Poughkeepsie, NY 12601"
Dutchess,36027,ambulance_als,La Grange Fire District EMS,504 Freedom Plains Road,"Poughkeepsie, NY 12603"
Dutchess,36027,ambulance_als,"Milan Volunteer Fire Department, Inc.",900 Route 199,"Milan, NY 12571"
Dutchess,36027,ambulance_als,Millbrook Fire Dept. Rescue Squad,PO Box 609,"Millbrook, NY 12545"
Dutchess,36027,ambulance_als,"Northern Dutchess Paramedics, Inc.",PO Box 672,"Rhinebeck, NY 12572"
Dutchess,36027,ambulance_als,Pine Plains Hose Company Rescue Squad,PO BOX 100,"Pine Plains, NY 12567"
Dutchess,36027,ambulance_als,Pleasant Valley Fire District #1,PO Box 417,"Pleasant Valley, NY 12569"
Dutchess,36027,ambulance_als,"Red Hook Fire Company, Inc.",PO Box 100,"Red Hook, NY 12571"
